deflect_retain,match_id,match_team_id,no_save_attempt,save_attempt,save_deflect,save_pct,save_retain,source_page,team,team_id,total_attempts_faced,total_interventions
0,2026-M009-CIV-ECU,2026-M009-CIV-ECU_CIV,10,2,1,0,0,34,Côte d'Ivoire,CIV,13,1
1,2026-M009-CIV-ECU,2026-M009-CIV-ECU_ECU,10,3,0,75,2,35,Ecuador,ECU,16,2
0,2026-M010-GER-CUW,2026-M010-GER-CUW_GER,4,2,1,50,1,35,Germany,GER,8,2
1,2026-M010-GER-CUW,2026-M010-GER-CUW_CUW,14,8,2,36,1,36,Curaçao,CUW,26,3
0,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,4,4,1,50,1,34,Netherlands,NED,10,2
0,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,3,2,2,67,4,35,Japan,JPN,11,6
0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,5,0,1,50,1,34,Sweden,SWE,7,2
0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,6,4,3,17,0,35,Tunisia,TUN,13,3
0,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,16,2,8,89,1,35,Saudi Arabia,KSA,27,9
0,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,3,2,2,67,0,36,Uruguay,URU,7,2
1,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,5,0,0,100,0,35,Spain,ESP,6,0
4,2026-M014-ESP-CPV,2026-M014-ESP-CPV_CPV,20,1,2,100,1,36,Cabo Verde,CPV,28,3
0,2026-M015-IRN-NZL,2026-M015-IRN-NZL_IRN,5,3,0,71,6,34,IR Iran,IRN,14,6
0,2026-M015-IRN-NZL,2026-M015-IRN-NZL_NZL,11,4,0,50,2,35,New Zealand,NZL,17,2
0,2026-M016-BEL-EGY,2026-M016-BEL-EGY_BEL,10,1,4,67,0,34,Belgium,BEL,15,4
0,2026-M016-BEL-EGY,2026-M016-BEL-EGY_EGY,10,4,1,100,2,35,Egypt,EGY,17,3
2,2026-M017-FRA-SEN,2026-M017-FRA-SEN_FRA,3,1,1,50,0,34,France,FRA,7,1
0,2026-M017-FRA-SEN,2026-M017-FRA-SEN_SEN,2,4,3,62,2,35,Senegal,SEN,11,5
0,2026-M018-IRQ-NOR,2026-M018-IRQ-NOR_IRQ,10,2,1,33,0,34,Iraq,IRQ,13,1
0,2026-M018-IRQ-NOR,2026-M018-IRQ-NOR_NOR,6,5,0,0,0,35,Norway,NOR,11,0
0,2026-M019-ARG-ALG,2026-M019-ARG-ALG_ARG,6,1,0,0,0,34,Argentina,ARG,7,0
0,2026-M019-ARG-ALG,2026-M019-ARG-ALG_ALG,4,2,3,50,1,35,Algeria,ALG,10,4
0,2026-M020-AUT-JOR,2026-M020-AUT-JOR_AUT,5,3,2,67,1,34,Austria,AUT,11,3
0,2026-M020-AUT-JOR,2026-M020-AUT-JOR_JOR,9,1,1,33,0,35,Jordan,JOR,11,1
0,2026-M021-GHA-PAN,2026-M021-GHA-PAN_GHA,5,2,1,100,3,34,Ghana,GHA,11,4
1,2026-M021-GHA-PAN,2026-M021-GHA-PAN_PAN,5,1,0,50,0,35,Panama,PAN,7,0
0,2026-M022-ENG-CRO,2026-M022-ENG-CRO_ENG,4,2,3,60,1,35,England,ENG,10,4
0,2026-M022-ENG-CRO,2026-M022-ENG-CRO_CRO,10,4,8,64,0,36,Croatia,CRO,22,8
0,2026-M023-POR-COD,2026-M023-POR-COD_POR,5,2,0,50,1,34,Portugal,POR,8,1
0,2026-M023-POR-COD,2026-M023-POR-COD_COD,6,1,1,0,0,35,Congo DR,COD,8,1
0,2026-M024-UZB-COL,2026-M024-UZB-COL_UZB,9,3,2,25,1,34,Uzbekistan,UZB,15,3
0,2026-M024-UZB-COL,2026-M024-UZB-COL_COL,5,2,1,50,0,35,Colombia,COL,8,1
0,2026-M025-CZE-RSA,2026-M025-CZE-RSA_CZE,13,1,0,75,3,34,Czechia,CZE,17,3
0,2026-M025-CZE-RSA,2026-M025-CZE-RSA_RSA,11,1,1,67,1,35,South Africa,RSA,14,2
0,2026-M026-SUI-BIH,2026-M026-SUI-BIH_SUI,2,1,1,67,1,34,Switzerland,SUI,5,2
0,2026-M026-SUI-BIH,2026-M026-SUI-BIH_BIH,3,5,3,43,2,35,Bosnia and Herzegovina,BIH,13,5
0,2026-M027-CAN-QAT,2026-M027-CAN-QAT_CAN,2,0,0,0,0,35,Canada,CAN,2,0
0,2026-M027-CAN-QAT,2026-M027-CAN-QAT_QAT,26,2,7,44,0,36,Qatar,QAT,35,7
0,2026-M028-MEX-KOR,2026-M028-MEX-KOR_MEX,7,0,1,100,1,34,Mexico,MEX,9,2
0,2026-M028-MEX-KOR,2026-M028-MEX-KOR_KOR,2,1,2,75,3,35,Korea Republic,KOR,8,5
0,2026-M029-BRA-HAI,2026-M029-BRA-HAI_BRA,4,0,3,100,0,34,Brazil,BRA,7,3
0,2026-M029-BRA-HAI,2026-M029-BRA-HAI_HAI,3,3,1,50,1,35,Haiti,HAI,8,2
0,2026-M030-SCO-MAR,2026-M030-SCO-MAR_SCO,7,4,1,50,0,34,Scotland,SCO,12,1
0,2026-M030-SCO-MAR,2026-M030-SCO-MAR_MAR,4,1,0,0,1,35,Morocco,MAR,6,1
0,2026-M031-TUR-PAR,2026-M031-TUR-PAR_TUR,5,1,1,50,0,35,Türkiye,TUR,7,1
0,2026-M031-TUR-PAR,2026-M031-TUR-PAR_PAR,22,5,4,100,3,36,Paraguay,PAR,34,7
0,2026-M032-USA-AUS,2026-M032-USA-AUS_USA,3,0,0,100,2,34,USA,USA,5,2
0,2026-M032-USA-AUS,2026-M032-USA-AUS_AUS,7,3,0,50,1,35,Australia,AUS,11,1
0,2026-M033-GER-CIV,2026-M033-GER-CIV_GER,7,1,0,50,1,34,Germany,GER,9,1
2,2026-M033-GER-CIV,2026-M033-GER-CIV_CIV,9,2,2,71,1,35,Côte d'Ivoire,CIV,16,3
0,2026-M034-ECU-CUW,2026-M034-ECU-CUW_ECU,5,0,5,100,1,35,Ecuador,ECU,11,6
2,2026-M034-ECU-CUW,2026-M034-ECU-CUW_CUW,13,1,7,100,7,36,Curaçao,CUW,30,15
0,2026-M035-NED-SWE,2026-M035-NED-SWE_NED,5,3,5,88,3,34,Netherlands,NED,16,8
0,2026-M035-NED-SWE,2026-M035-NED-SWE_SWE,4,4,0,29,2,35,Sweden,SWE,10,2
0,2026-M036-TUN-JPN,2026-M036-TUN-JPN_TUN,5,4,2,25,0,34,Tunisia,TUN,11,2
0,2026-M036-TUN-JPN,2026-M036-TUN-JPN_JPN,1,1,0,0,1,35,Japan,JPN,3,1
0,2026-M037-URU-CPV,2026-M037-URU-CPV_URU,9,1,0,50,2,34,Uruguay,URU,12,2
0,2026-M037-URU-CPV,2026-M037-URU-CPV_CPV,14,3,0,0,0,35,Cabo Verde,CPV,17,0
2,2026-M038-ESP-KSA,2026-M038-ESP-KSA_ESP,0,0,0,100,2,35,Spain,ESP,1,3
0,2026-M038-ESP-KSA,2026-M038-ESP-KSA_KSA,12,5,5,62,1,36,Saudi Arabia,KSA,23,6
1,2026-M039-BEL-IRN,2026-M039-BEL-IRN_BEL,4,0,2,100,0,35,Belgium,BEL,7,2
1,2026-M039-BEL-IRN,2026-M039-BEL-IRN_IRN,14,2,4,100,2,36,IR Iran,IRN,23,6
2,2026-M040-NZL-EGY,2026-M040-NZL-EGY_NZL,13,1,3,57,0,35,New Zealand,NZL,19,3
0,2026-M040-NZL-EGY,2026-M040-NZL-EGY_EGY,5,2,4,80,0,36,Egypt,EGY,11,4
0,2026-M041-NOR-SEN,2026-M041-NOR-SEN_NOR,10,3,1,50,2,34,Norway,NOR,16,3
0,2026-M041-NOR-SEN,2026-M041-NOR-SEN_SEN,6,2,4,50,1,35,Senegal,SEN,13,5
0,2026-M042-FRA-IRQ,2026-M042-FRA-IRQ_FRA,3,1,0,0,0,35,France,FRA,4,0
0,2026-M042-FRA-IRQ,2026-M042-FRA-IRQ_IRQ,13,3,2,40,1,36,Iraq,IRQ,19,3
0,2026-M043-ARG-AUT,2026-M043-ARG-AUT_ARG,5,0,1,100,0,34,Argentina,ARG,6,1
0,2026-M043-ARG-AUT,2026-M043-ARG-AUT_AUT,5,5,3,50,0,35,Austria,AUT,13,3
0,2026-M044-JOR-ALG,2026-M044-JOR-ALG_JOR,9,1,4,75,3,34,Jordan,JOR,17,7
2,2026-M044-JOR-ALG,2026-M044-JOR-ALG_ALG,4,0,1,75,1,35,Algeria,ALG,8,3
0,2026-M045-ENG-GHA,2026-M045-ENG-GHA_ENG,2,0,0,0,0,35,England,ENG,2,0
0,2026-M045-ENG-GHA,2026-M045-ENG-GHA_GHA,13,3,1,100,2,36,Ghana,GHA,19,3
0,2026-M046-PAN-CRO,2026-M046-PAN-CRO_PAN,4,0,2,100,0,34,Panama,PAN,6,2
1,2026-M046-PAN-CRO,2026-M046-PAN-CRO_CRO,6,0,2,100,0,35,Croatia,CRO,9,3
1,2026-M047-POR-GHA,2026-M047-POR-GHA_POR,4,1,0,100,1,34,Portugal,POR,7,1
0,2026-M047-POR-GHA,2026-M047-POR-GHA_GHA,6,7,5,50,0,35,Uzbekistan,GHA,18,5
0,2026-M048-COL-COD,2026-M048-COL-COD_COL,5,1,1,100,1,35,Colombia,COL,8,2
0,2026-M048-COL-COD,2026-M048-COL-COD_COD,11,1,7,89,1,36,Congo DR,COD,20,8
1,2026-M049-SCO-BRA,2026-M049-SCO-BRA_SCO,13,3,3,62,1,35,Scotland,SCO,21,4
0,2026-M049-SCO-BRA,2026-M049-SCO-BRA_BRA,8,1,2,100,3,36,Brazil,BRA,14,5
0,2026-M050-MAR-HAI,2026-M050-MAR-HAI_MAR,7,1,1,50,1,35,Morocco,MAR,10,2
0,2026-M050-MAR-HAI,2026-M050-MAR-HAI_HAI,11,4,6,64,3,36,Haiti,HAI,24,9
1,2026-M051-SUI-CAN,2026-M051-SUI-CAN_SUI,7,0,2,86,3,34,Switzerland,SUI,13,5
0,2026-M051-SUI-CAN,2026-M051-SUI-CAN_CAN,2,1,2,50,1,35,Canada,CAN,6,3
0,2026-M052-BIH-QAT,2026-M052-BIH-QAT_BIH,4,3,1,67,1,34,Bosnia and Herzegovina,BIH,9,2
0,2026-M052-BIH-QAT,2026-M052-BIH-QAT_QAT,7,3,6,60,0,35,Qatar,QAT,16,6
0,2026-M053-CZE-MEX,2026-M053-CZE-MEX_CZE,6,3,2,40,1,34,Czechia,CZE,12,3
1,2026-M053-CZE-MEX,2026-M053-CZE-MEX_MEX,11,1,0,100,0,35,Mexico,MEX,13,0
1,2026-M054-RSA-KOR,2026-M054-RSA-KOR_RSA,6,0,0,100,1,34,South Africa,RSA,8,2
0,2026-M054-RSA-KOR,2026-M054-RSA-KOR_KOR,7,3,1,75,2,35,Korea Republic,KOR,13,3
0,2026-M055-CUW-CIV,2026-M055-CUW-CIV_CUW,5,1,1,33,0,34,Curaçao,CUW,7,1
0,2026-M055-CUW-CIV,2026-M055-CUW-CIV_CIV,8,1,3,100,0,35,Côte d'Ivoire,CIV,12,3
0,2026-M056-ECU-GER,2026-M056-ECU-GER_ECU,7,2,0,67,2,34,Ecuador,ECU,11,2
0,2026-M056-ECU-GER,2026-M056-ECU-GER_GER,4,2,1,33,0,35,Germany,GER,7,1
0,2026-M057-JPN-SWE,2026-M057-JPN-SWE_JPN,5,1,4,80,1,34,Japan,JPN,11,5
0,2026-M057-JPN-SWE,2026-M057-JPN-SWE_SWE,4,2,1,67,1,35,Sweden,SWE,8,2
0,2026-M058-TUN-NED,2026-M058-TUN-NED_TUN,16,1,2,67,2,35,Tunisia,TUN,21,4
0,2026-M058-TUN-NED,2026-M058-TUN-NED_NED,6,1,1,75,2,36,Netherlands,NED,10,3
0,2026-M059-TUR-USA,2026-M059-TUR-USA_TUR,10,3,4,71,1,35,Türkiye,TUR,18,5
0,2026-M059-TUR-USA,2026-M059-TUR-USA_USA,6,3,0,0,0,36,USA,USA,9,0
1,2026-M060-PAR-AUS,2026-M060-PAR-AUS_PAR,5,1,2,100,3,34,Paraguay,PAR,12,5
1,2026-M060-PAR-AUS,2026-M060-PAR-AUS_AUS,5,0,0,100,1,35,Australia,AUS,7,2
0,2026-M061-NOR-FRA,2026-M061-NOR-FRA_NOR,7,6,3,56,2,35,Norway,NOR,18,5
0,2026-M061-NOR-FRA,2026-M061-NOR-FRA_FRA,6,1,2,75,1,36,France,FRA,10,3
1,2026-M062-SEN-IRQ,2026-M062-SEN-IRQ_SEN,5,0,0,100,0,35,Senegal,SEN,6,1
0,2026-M062-SEN-IRQ,2026-M062-SEN-IRQ_IRQ,16,6,4,64,3,36,Iraq,IRQ,29,7
0,2026-M063-EGY-IRN,2026-M063-EGY-IRN_EGY,9,2,2,67,0,34,Egypt,EGY,13,2
0,2026-M063-EGY-IRN,2026-M063-EGY-IRN_IRN,11,1,0,67,3,35,IR Iran,IRN,15,3
1,2026-M064-NZL-BEL,2026-M064-NZL-BEL_NZL,21,9,4,50,0,36,New Zealand,NZL,35,4
0,2026-M064-NZL-BEL,2026-M064-NZL-BEL_BEL,4,1,1,50,0,37,Belgium,BEL,6,1
1,2026-M065-CPV-KSA,2026-M065-CPV-KSA_CPV,4,0,1,100,1,34,Cabo Verde,CPV,7,2
0,2026-M065-CPV-KSA,2026-M065-CPV-KSA_KSA,11,1,2,100,1,35,Saudi Arabia,KSA,15,3
0,2026-M066-URU-ESP,2026-M066-URU-ESP_URU,4,2,1,0,0,34,Uruguay,URU,7,1
1,2026-M066-URU-ESP,2026-M066-URU-ESP_ESP,3,1,1,100,1,35,Spain,ESP,7,2
1,2026-M067-PAN-ENG,2026-M067-PAN-ENG_PAN,7,4,4,67,1,34,Panama,PAN,17,5
0,2026-M067-PAN-ENG,2026-M067-PAN-ENG_ENG,10,1,1,100,1,35,England,ENG,13,2
0,2026-M068-CRO-GHA,2026-M068-CRO-GHA_CRO,3,3,0,0,0,34,Croatia,CRO,6,0
0,2026-M068-CRO-GHA,2026-M068-CRO-GHA_GHA,3,3,1,50,1,35,Ghana,GHA,8,2
0,2026-M069-ALG-AUT,2026-M069-ALG-AUT_ALG,7,2,1,0,0,34,Algeria,ALG,10,1
1,2026-M069-ALG-AUT,2026-M069-ALG-AUT_AUT,5,5,0,40,1,35,Austria,AUT,12,1
0,2026-M070-JOR-ARG,2026-M070-JOR-ARG_JOR,9,3,1,25,0,34,Jordan,JOR,13,1
0,2026-M070-JOR-ARG,2026-M070-JOR-ARG_ARG,4,0,1,0,0,35,Argentina,ARG,5,1
0,2026-M071-COL-POR,2026-M071-COL-POR_COL,8,3,1,100,1,35,Colombia,COL,13,2
0,2026-M071-COL-POR,2026-M071-COL-POR_POR,19,1,4,100,2,36,Portugal,POR,26,6
0,2026-M072-COD-UZB,2026-M072-COD-UZB_COD,3,0,1,0,0,35,Congo DR,COD,4,1
0,2026-M072-COD-UZB,2026-M072-COD-UZB_UZB,14,4,1,25,0,36,Uzbekistan,UZB,19,1
0,2026-M073-RSA-CAN,2026-M073-RSA-CAN_RSA,4,3,3,83,2,34,South Africa,RSA,12,5
0,2026-M073-RSA-CAN,2026-M073-RSA-CAN_CAN,4,0,1,100,1,35,Canada,CAN,6,2
0,2026-M074-GER-PAR,2026-M074-GER-PAR_GER,3,0,2,67,2,35,Germany,GER,7,4
0,2026-M074-GER-PAR,2026-M074-GER-PAR_PAR,14,1,2,83,5,36,Paraguay,PAR,22,7
0,2026-M075-NED-MAR,2026-M075-NED-MAR_NED,5,2,4,80,1,34,Netherlands,NED,12,5
0,2026-M075-NED-MAR,2026-M075-NED-MAR_MAR,3,1,1,50,1,35,Morocco,MAR,6,2
0,2026-M076-BRA-JPN,2026-M076-BRA-JPN_BRA,3,1,0,50,1,35,Brazil,BRA,5,1
0,2026-M076-BRA-JPN,2026-M076-BRA-JPN_JPN,11,2,4,67,2,36,Japan,JPN,19,6
0,2026-M077-FRA-SWE,2026-M077-FRA-SWE_FRA,3,0,2,100,2,35,France,FRA,7,4
0,2026-M077-FRA-SWE,2026-M077-FRA-SWE_SWE,9,7,6,75,4,36,Sweden,SWE,26,10
0,2026-M078-CIV-NOR,2026-M078-CIV-NOR_CIV,4,4,0,33,2,34,Côte d'Ivoire,CIV,10,2
1,2026-M078-CIV-NOR,2026-M078-CIV-NOR_NOR,7,3,2,80,1,35,Norway,NOR,14,4
0,2026-M079-MEX-ECU,2026-M079-MEX-ECU_MEX,4,2,1,100,0,34,Mexico,MEX,7,1
0,2026-M079-MEX-ECU,2026-M079-MEX-ECU_ECU,8,6,1,33,0,35,Ecuador,ECU,15,1
0,2026-M080-ENG-COD,2026-M080-ENG-COD_ENG,2,3,1,50,1,34,England,ENG,7,2
0,2026-M080-ENG-COD,2026-M080-ENG-COD_COD,11,0,6,67,0,35,Congo DR,COD,17,6
0,2026-M081-USA-BIH,2026-M081-USA-BIH_USA,5,2,2,100,2,34,USA,USA,11,4
0,2026-M081-USA-BIH,2026-M081-USA-BIH_BIH,5,1,2,0,0,35,Bosnia and Herzegovina,BIH,8,2
0,2026-M082-BEL-SEN,2026-M082-BEL-SEN_BEL,13,3,0,60,4,36,Belgium,BEL,20,4
1,2026-M082-BEL-SEN,2026-M082-BEL-SEN_SEN,12,4,1,40,2,37,Senegal,SEN,20,3
0,2026-M083-POR-CRO,2026-M083-POR-CRO_POR,6,1,5,83,1,34,Portugal,POR,13,6
0,2026-M083-POR-CRO,2026-M083-POR-CRO_CRO,11,3,1,33,0,35,Croatia,CRO,15,1
0,2026-M084-ESP-AUT,2026-M084-ESP-AUT_ESP,4,1,0,0,0,35,Spain,ESP,5,0
0,2026-M084-ESP-AUT,2026-M084-ESP-AUT_AUT,13,3,4,67,3,36,Austria,AUT,23,7
0,2026-M085-SUI-ALG,2026-M085-SUI-ALG_SUI,6,0,0,100,2,34,Switzerland,SUI,8,2
0,2026-M085-SUI-ALG,2026-M085-SUI-ALG_ALG,6,1,2,50,2,35,Algeria,ALG,11,4
0,2026-M086-ARG-CPV,2026-M086-ARG-CPV_ARG,12,1,2,60,1,35,Argentina,ARG,16,3
1,2026-M086-ARG-CPV,2026-M086-ARG-CPV_CPV,12,3,5,73,2,36,Cabo Verde,CPV,23,7
0,2026-M087-COL-GHA,2026-M087-COL-GHA_COL,7,1,0,0,0,35,Colombia,COL,8,0
0,2026-M087-COL-GHA,2026-M087-COL-GHA_GHA,12,1,6,88,1,36,Ghana,GHA,20,7
1,2026-M088-AUS-EGY,2026-M088-AUS-EGY_AUS,10,3,2,75,0,34,Australia,AUS,16,3
0,2026-M088-AUS-EGY,2026-M088-AUS-EGY_EGY,15,1,0,100,1,35,Egypt,EGY,17,1
0,2026-M089-PAR-FRA,2026-M089-PAR-FRA_PAR,6,5,3,80,1,34,Paraguay,PAR,15,4
0,2026-M089-PAR-FRA,2026-M089-PAR-FRA_FRA,4,0,0,0,1,35,France,FRA,5,1
0,2026-M090-CAN-MAR,2026-M090-CAN-MAR_CAN,1,3,0,25,1,34,Canada,CAN,5,1
0,2026-M090-CAN-MAR,2026-M090-CAN-MAR_MAR,7,0,3,100,0,35,Morocco,MAR,10,3
0,2026-M091-BRA-NOR,2026-M091-BRA-NOR_BRA,3,3,2,60,1,34,Brazil,BRA,9,3
0,2026-M091-BRA-NOR,2026-M091-BRA-NOR_NOR,9,2,4,75,0,35,Norway,NOR,15,4
0,2026-M092-MEX-ENG,2026-M092-MEX-ENG_MEX,0,4,0,40,2,35,Mexico,MEX,6,2
0,2026-M092-MEX-ENG,2026-M092-MEX-ENG_ENG,13,4,2,60,1,36,England,ENG,20,3
0,2026-M093-POR-ESP,2026-M093-POR-ESP_POR,8,2,3,83,2,34,Portugal,POR,15,5
0,2026-M093-POR-ESP,2026-M093-POR-ESP_ESP,4,3,1,100,2,35,Spain,ESP,10,3
0,2026-M094-USA-BEL,2026-M094-USA-BEL_USA,10,2,1,43,2,34,USA,USA,15,3
0,2026-M094-USA-BEL,2026-M094-USA-BEL_BEL,4,2,1,50,0,35,Belgium,BEL,7,1
0,2026-M095-ARG-EGY,2026-M095-ARG-EGY_ARG,4,1,0,0,0,35,Argentina,ARG,5,0
0,2026-M095-ARG-EGY,2026-M095-ARG-EGY_EGY,10,3,5,57,1,36,Egypt,EGY,19,6
0,2026-M096-SUI-COL,2026-M096-SUI-COL_SUI,10,2,2,100,1,34,Switzerland,SUI,15,3
0,2026-M096-SUI-COL,2026-M096-SUI-COL_COL,2,3,1,100,1,35,Colombia,COL,7,2
0,2026-M097-FRA-MAR,2026-M097-FRA-MAR_FRA,4,0,1,100,0,35,France,FRA,5,1
0,2026-M097-FRA-MAR,2026-M097-FRA-MAR_MAR,11,3,6,75,2,36,Morocco,MAR,22,8
0,2026-M098-ESP-BEL,2026-M098-ESP-BEL_ESP,2,2,0,50,1,34,Spain,ESP,5,1
0,2026-M098-ESP-BEL,2026-M098-ESP-BEL_BEL,7,4,5,75,1,35,Belgium,BEL,17,6
2,2026-M099-NOR-ENG,2026-M099-NOR-ENG_NOR,5,4,3,71,1,34,Norway,NOR,15,4
0,2026-M099-NOR-ENG,2026-M099-NOR-ENG_ENG,5,4,3,75,2,35,England,ENG,14,5
0,2026-M100-ARG-SUI,2026-M100-ARG-SUI_ARG,6,1,2,80,2,35,Argentina,ARG,11,4
0,2026-M100-ARG-SUI,2026-M100-ARG-SUI_SUI,13,5,3,57,1,36,Switzerland,SUI,22,4
0,2026-M101-FRA-ESP,2026-M101-FRA-ESP_FRA,7,3,0,0,0,34,France,FRA,10,0
1,2026-M101-FRA-ESP,2026-M101-FRA-ESP_ESP,5,2,3,100,0,35,Spain,ESP,11,4
1,2026-M102-ENG-ARG,2026-M102-ENG-ARG_ENG,6,4,4,60,0,34,England,ENG,15,5
0,2026-M102-ENG-ARG,2026-M102-ENG-ARG_ARG,3,1,0,50,1,35,Argentina,ARG,5,1
0,2026-M103-FRA-ENG,2026-M103-FRA-ENG_FRA,11,4,4,40,0,36,France,FRA,19,4
2,2026-M103-FRA-ENG,2026-M103-FRA-ENG_ENG,9,5,3,56,1,37,England,ENG,20,4
0,2026-M104-ESP-ARG,2026-M104-ESP-ARG_ESP,1,1,0,0,0,35,Spain,ESP,2,0
0,2026-M104-ESP-ARG,2026-M104-ESP-ARG_ARG,7,2,6,92,5,36,Argentina,ARG,20,11
