match_id,match_team_id,phase,phase_group,raw,team,team_id,unit,value
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Mid Press,Out Of Possession,3%,South Africa,RSA,%,3.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Low Press,Out Of Possession,0%,Mexico,MEX,%,0.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Low Press,Out Of Possession,1%,South Africa,RSA,%,1.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,High Block,Out Of Possession,7%,Mexico,MEX,%,7.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,High Block,Out Of Possession,5%,South Africa,RSA,%,5.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Mid Block,Out Of Possession,25%,Mexico,MEX,%,25.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Mid Block,Out Of Possession,30%,South Africa,RSA,%,30.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Low Block,Out Of Possession,11%,Mexico,MEX,%,11.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Low Block,Out Of Possession,14%,South Africa,RSA,%,14.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Recovery,Out Of Possession,5%,Mexico,MEX,%,5.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Recovery,Out Of Possession,2%,South Africa,RSA,%,2.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Defensive Transition,Out Of Possession,12%,Mexico,MEX,%,12.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Defensive Transition,Out Of Possession,10%,South Africa,RSA,%,10.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Counter-press,Out Of Possession,8%,Mexico,MEX,%,8.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Counter-press,Out Of Possession,7%,South Africa,RSA,%,7.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Build Up Unopposed,In Possession,38%,Korea Republic,KOR,%,38.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Build Up Unopposed,In Possession,32%,Czechia,CZE,%,32.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Build Up Opposed,In Possession,19%,Korea Republic,KOR,%,19.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Build Up Opposed,In Possession,13%,Czechia,CZE,%,13.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Progression,In Possession,12%,Korea Republic,KOR,%,12.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Progression,In Possession,13%,Czechia,CZE,%,13.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Final Third,In Possession,14%,Korea Republic,KOR,%,14.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Final Third,In Possession,12%,Czechia,CZE,%,12.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Long Ball,In Possession,5%,Korea Republic,KOR,%,5.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Long Ball,In Possession,10%,Czechia,CZE,%,10.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Attacking Transition,In Possession,10%,Korea Republic,KOR,%,10.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Attacking Transition,In Possession,17%,Czechia,CZE,%,17.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Counter Attack,In Possession,2%,Korea Republic,KOR,%,2.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Counter Attack,In Possession,1%,Czechia,CZE,%,1.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Set Piece,In Possession,8%,Korea Republic,KOR,%,8.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Set Piece,In Possession,8%,Czechia,CZE,%,8.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,High Press,Out Of Possession,4%,Korea Republic,KOR,%,4.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,High Press,Out Of Possession,5%,Czechia,CZE,%,5.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Mid Press,Out Of Possession,3%,Korea Republic,KOR,%,3.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Mid Press,Out Of Possession,7%,Czechia,CZE,%,7.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Low Press,Out Of Possession,0%,Korea Republic,KOR,%,0.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Low Press,Out Of Possession,1%,Czechia,CZE,%,1.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,High Block,Out Of Possession,6%,Korea Republic,KOR,%,6.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,High Block,Out Of Possession,5%,Czechia,CZE,%,5.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Mid Block,Out Of Possession,13%,Korea Republic,KOR,%,13.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Mid Block,Out Of Possession,18%,Czechia,CZE,%,18.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Low Block,Out Of Possession,20%,Korea Republic,KOR,%,20.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Low Block,Out Of Possession,26%,Czechia,CZE,%,26.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Recovery,Out Of Possession,5%,Korea Republic,KOR,%,5.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Recovery,Out Of Possession,4%,Czechia,CZE,%,4.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Defensive Transition,Out Of Possession,17%,Korea Republic,KOR,%,17.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Defensive Transition,Out Of Possession,10%,Czechia,CZE,%,10.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Counter-press,Out Of Possession,11%,Korea Republic,KOR,%,11.0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Counter-press,Out Of Possession,7%,Czechia,CZE,%,7.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Build Up Unopposed,In Possession,30%,Canada,CAN,%,30.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Build Up Unopposed,In Possession,16%,Bosnia and Herzegovina,BIH,%,16.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Build Up Opposed,In Possession,10%,Canada,CAN,%,10.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Build Up Opposed,In Possession,8%,Bosnia and Herzegovina,BIH,%,8.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Progression,In Possession,17%,Canada,CAN,%,17.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Progression,In Possession,12%,Bosnia and Herzegovina,BIH,%,12.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Final Third,In Possession,19%,Canada,CAN,%,19.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Final Third,In Possession,5%,Bosnia and Herzegovina,BIH,%,5.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Long Ball,In Possession,3%,Canada,CAN,%,3.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Long Ball,In Possession,10%,Bosnia and Herzegovina,BIH,%,10.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Attacking Transition,In Possession,17%,Canada,CAN,%,17.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Attacking Transition,In Possession,36%,Bosnia and Herzegovina,BIH,%,36.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Counter Attack,In Possession,2%,Canada,CAN,%,2.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Counter Attack,In Possession,3%,Bosnia and Herzegovina,BIH,%,3.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Set Piece,In Possession,11%,Canada,CAN,%,11.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Set Piece,In Possession,11%,Bosnia and Herzegovina,BIH,%,11.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,High Press,Out Of Possession,6%,Canada,CAN,%,6.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,High Press,Out Of Possession,2%,Bosnia and Herzegovina,BIH,%,2.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Mid Press,Out Of Possession,6%,Canada,CAN,%,6.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Mid Press,Out Of Possession,2%,Bosnia and Herzegovina,BIH,%,2.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Low Press,Out Of Possession,1%,Canada,CAN,%,1.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Low Press,Out Of Possession,1%,Bosnia and Herzegovina,BIH,%,1.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,High Block,Out Of Possession,5%,Canada,CAN,%,5.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,High Block,Out Of Possession,1%,Bosnia and Herzegovina,BIH,%,1.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Mid Block,Out Of Possession,11%,Canada,CAN,%,11.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Mid Block,Out Of Possession,14%,Bosnia and Herzegovina,BIH,%,14.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Low Block,Out Of Possession,5%,Canada,CAN,%,5.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Low Block,Out Of Possession,31%,Bosnia and Herzegovina,BIH,%,31.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Recovery,Out Of Possession,6%,Canada,CAN,%,6.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Recovery,Out Of Possession,5%,Bosnia and Herzegovina,BIH,%,5.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Defensive Transition,Out Of Possession,36%,Canada,CAN,%,36.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Defensive Transition,Out Of Possession,17%,Bosnia and Herzegovina,BIH,%,17.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Counter-press,Out Of Possession,20%,Canada,CAN,%,20.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Counter-press,Out Of Possession,13%,Bosnia and Herzegovina,BIH,%,13.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Build Up Unopposed,In Possession,37%,USA,USA,%,37.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Build Up Unopposed,In Possession,21%,Paraguay,PAR,%,21.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Build Up Opposed,In Possession,12%,USA,USA,%,12.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Build Up Opposed,In Possession,16%,Paraguay,PAR,%,16.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Progression,In Possession,19%,USA,USA,%,19.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Progression,In Possession,15%,Paraguay,PAR,%,15.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Final Third,In Possession,22%,USA,USA,%,22.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Final Third,In Possession,7%,Paraguay,PAR,%,7.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Long Ball,In Possession,2%,USA,USA,%,2.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Long Ball,In Possession,8%,Paraguay,PAR,%,8.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Attacking Transition,In Possession,15%,USA,USA,%,15.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Attacking Transition,In Possession,26%,Paraguay,PAR,%,26.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Counter Attack,In Possession,1%,USA,USA,%,1.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Counter Attack,In Possession,1%,Paraguay,PAR,%,1.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Set Piece,In Possession,7%,USA,USA,%,7.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Set Piece,In Possession,7%,Paraguay,PAR,%,7.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,High Press,Out Of Possession,8%,USA,USA,%,8.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,High Press,Out Of Possession,4%,Paraguay,PAR,%,4.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Mid Press,Out Of Possession,7%,USA,USA,%,7.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Mid Press,Out Of Possession,3%,Paraguay,PAR,%,3.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Low Press,Out Of Possession,0%,USA,USA,%,0.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Low Press,Out Of Possession,1%,Paraguay,PAR,%,1.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,High Block,Out Of Possession,8%,USA,USA,%,8.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,High Block,Out Of Possession,3%,Paraguay,PAR,%,3.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Mid Block,Out Of Possession,14%,USA,USA,%,14.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Mid Block,Out Of Possession,25%,Paraguay,PAR,%,25.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Low Block,Out Of Possession,4%,USA,USA,%,4.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Low Block,Out Of Possession,28%,Paraguay,PAR,%,28.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Recovery,Out Of Possession,4%,USA,USA,%,4.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Recovery,Out Of Possession,4%,Paraguay,PAR,%,4.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Defensive Transition,Out Of Possession,26%,USA,USA,%,26.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Defensive Transition,Out Of Possession,15%,Paraguay,PAR,%,15.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Counter-press,Out Of Possession,19%,USA,USA,%,19.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Counter-press,Out Of Possession,11%,Paraguay,PAR,%,11.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Build Up Unopposed,In Possession,44%,Haiti,HAI,%,44.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Build Up Unopposed,In Possession,33%,Scotland,SCO,%,33.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Build Up Opposed,In Possession,9%,Haiti,HAI,%,9.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Build Up Opposed,In Possession,9%,Scotland,SCO,%,9.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Progression,In Possession,19%,Haiti,HAI,%,19.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Progression,In Possession,19%,Scotland,SCO,%,19.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Final Third,In Possession,19%,Haiti,HAI,%,19.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Final Third,In Possession,9%,Scotland,SCO,%,9.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Long Ball,In Possession,2%,Haiti,HAI,%,2.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Long Ball,In Possession,8%,Scotland,SCO,%,8.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Attacking Transition,In Possession,12%,Haiti,HAI,%,12.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Attacking Transition,In Possession,11%,Scotland,SCO,%,11.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Counter Attack,In Possession,2%,Haiti,HAI,%,2.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Counter Attack,In Possession,0%,Scotland,SCO,%,0.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Set Piece,In Possession,6%,Haiti,HAI,%,6.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Set Piece,In Possession,10%,Scotland,SCO,%,10.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,High Press,Out Of Possession,5%,Haiti,HAI,%,5.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,High Press,Out Of Possession,1%,Scotland,SCO,%,1.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Mid Press,Out Of Possession,7%,Haiti,HAI,%,7.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Mid Press,Out Of Possession,1%,Scotland,SCO,%,1.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Low Press,Out Of Possession,1%,Haiti,HAI,%,1.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Low Press,Out Of Possession,1%,Scotland,SCO,%,1.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,High Block,Out Of Possession,6%,Haiti,HAI,%,6.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,High Block,Out Of Possession,4%,Scotland,SCO,%,4.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Mid Block,Out Of Possession,25%,Haiti,HAI,%,25.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Mid Block,Out Of Possession,21%,Scotland,SCO,%,21.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Low Block,Out Of Possession,8%,Haiti,HAI,%,8.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Low Block,Out Of Possession,34%,Scotland,SCO,%,34.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Recovery,Out Of Possession,5%,Haiti,HAI,%,5.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Recovery,Out Of Possession,8%,Scotland,SCO,%,8.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Defensive Transition,Out Of Possession,11%,Haiti,HAI,%,11.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Defensive Transition,Out Of Possession,12%,Scotland,SCO,%,12.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Counter-press,Out Of Possession,7%,Haiti,HAI,%,7.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Counter-press,Out Of Possession,8%,Scotland,SCO,%,8.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Build Up Unopposed,In Possession,20%,Australia,AUS,%,20.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Build Up Unopposed,In Possession,41%,Türkiye,TUR,%,41.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Build Up Opposed,In Possession,13%,Australia,AUS,%,13.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Build Up Opposed,In Possession,19%,Türkiye,TUR,%,19.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Progression,In Possession,11%,Australia,AUS,%,11.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Progression,In Possession,21%,Türkiye,TUR,%,21.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Final Third,In Possession,12%,Australia,AUS,%,12.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Final Third,In Possession,34%,Türkiye,TUR,%,34.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Long Ball,In Possession,9%,Australia,AUS,%,9.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Long Ball,In Possession,1%,Türkiye,TUR,%,1.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Attacking Transition,In Possession,22%,Australia,AUS,%,22.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Attacking Transition,In Possession,7%,Türkiye,TUR,%,7.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Counter Attack,In Possession,1%,Australia,AUS,%,1.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Counter Attack,In Possession,2%,Türkiye,TUR,%,2.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Set Piece,In Possession,9%,Australia,AUS,%,9.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Set Piece,In Possession,7%,Türkiye,TUR,%,7.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,High Press,Out Of Possession,1%,Australia,AUS,%,1.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,High Press,Out Of Possession,11%,Türkiye,TUR,%,11.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Mid Press,Out Of Possession,2%,Australia,AUS,%,2.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Mid Press,Out Of Possession,4%,Türkiye,TUR,%,4.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Low Press,Out Of Possession,0%,Australia,AUS,%,0.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Low Press,Out Of Possession,1%,Türkiye,TUR,%,1.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,High Block,Out Of Possession,1%,Australia,AUS,%,1.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,High Block,Out Of Possession,6%,Türkiye,TUR,%,6.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Mid Block,Out Of Possession,18%,Australia,AUS,%,18.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Mid Block,Out Of Possession,7%,Türkiye,TUR,%,7.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Low Block,Out Of Possession,56%,Australia,AUS,%,56.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Low Block,Out Of Possession,9%,Türkiye,TUR,%,9.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Recovery,Out Of Possession,4%,Australia,AUS,%,4.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Recovery,Out Of Possession,5%,Türkiye,TUR,%,5.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Defensive Transition,Out Of Possession,7%,Australia,AUS,%,7.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Defensive Transition,Out Of Possession,22%,Türkiye,TUR,%,22.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Counter-press,Out Of Possession,6%,Australia,AUS,%,6.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Counter-press,Out Of Possession,14%,Türkiye,TUR,%,14.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Build Up Unopposed,In Possession,41%,Brazil,BRA,%,41.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Build Up Unopposed,In Possession,31%,Morocco,MAR,%,31.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Build Up Opposed,In Possession,13%,Brazil,BRA,%,13.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Build Up Opposed,In Possession,14%,Morocco,MAR,%,14.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Progression,In Possession,18%,Brazil,BRA,%,18.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Progression,In Possession,15%,Morocco,MAR,%,15.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Final Third,In Possession,11%,Brazil,BRA,%,11.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Final Third,In Possession,17%,Morocco,MAR,%,17.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Long Ball,In Possession,2%,Brazil,BRA,%,2.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Long Ball,In Possession,5%,Morocco,MAR,%,5.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Attacking Transition,In Possession,12%,Brazil,BRA,%,12.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Attacking Transition,In Possession,16%,Morocco,MAR,%,16.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Counter Attack,In Possession,1%,Brazil,BRA,%,1.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Counter Attack,In Possession,2%,Morocco,MAR,%,2.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Set Piece,In Possession,5%,Brazil,BRA,%,5.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Set Piece,In Possession,6%,Morocco,MAR,%,6.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,High Press,Out Of Possession,7%,Brazil,BRA,%,7.0
