match_id,team_id,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,player_of_the_match,data_source,last_updated
81,34,48.0,19,5,2,12,2,2,,sofascore.com,2026-07-01
82,13,48.0,8,2,4,7,3,3,Malik Leon Tillman,sofascore.com,2026-07-01
82,6,52.0,10,3,3,13,0,0,,sofascore.com,2026-07-01
83,29,64.0,23,10,9,8,2,0,Mikel Oyarzabal,sofascore.com,2026-07-03
83,39,36.0,5,0,0,15,5,6,,sofascore.com,2026-07-03
84,41,62.0,15,3,9,6,1,6,Ronaldo Cristiano Ronaldo,sofascore.com,2026-07-03
84,46,38.0,13,7,5,11,4,1,,sofascore.com,2026-07-03
85,8,45.0,11,5,4,10,0,2,Breel Donald Embolo,sofascore.com,2026-07-03
85,38,55.0,8,2,2,12,2,3,,sofascore.com,2026-07-03
86,15,42.0,11,3,4,14,2,4,,sofascore.com,2026-07-04
86,26,58.0,16,5,6,12,1,2,Hamed Mahrous Mohamed Salah,sofascore.com,2026-07-04
87,37,64.0,22,11,8,9,3,3,Lionel Andrés Messi,sofascore.com,2026-07-04
87,30,36.0,16,5,3,13,1,8,,sofascore.com,2026-07-04
88,44,61.0,20,8,3,13,2,0,Jhon Adolfo Arias,sofascore.com,2026-07-04
88,47,39.0,8,0,2,9,0,7,,sofascore.com,2026-07-04
89,14,24.0,5,1,2,13,0,4,Orlando Daniel Gill,sofascore.com,2026-07-04
89,33,76.0,15,5,12,11,0,1,,sofascore.com,2026-07-04
90,5,44.7,10,3,7,24,2,1,,sofascore.com+espn.com,2026-07-04
90,10,55.3,5,4,1,14,3,3,Azz-Eddine Ounahi,sofascore.com+espn.com,2026-07-04
91,9,34.0,14,4,5,7,1,3,,sofascore.com,2026-07-06
91,36,66.0,9,5,5,6,1,4,Erling Braut Haaland,sofascore.com,2026-07-06
92,1,67.0,20,5,12,14,1,2,,sofascore.com,2026-07-06
92,45,33.0,6,5,2,7,0,3,Jude Victor William Bellingham,sofascore.com,2026-07-06
93,41,44.0,8,3,4,11,1,4,,sofascore.com,2026-07-06
93,29,56.0,15,6,7,9,2,3,Mikel Oyarzabal,sofascore.com,2026-07-06
94,13,42.0,10,3,5,12,1,3,,sofascore.com,2026-07-07
94,25,58.0,17,8,6,10,2,2,Youri Marion Tielemans,sofascore.com,2026-07-07
95,37,61.0,16,7,8,8,2,2,Lionel Andrés Messi,sofascore.com,2026-07-07
95,26,39.0,9,4,3,14,1,4,,sofascore.com,2026-07-07
96,8,48.0,11,3,5,13,1,3,,sofascore.com,2026-07-07
96,44,52.0,13,4,6,11,2,3,Jhon Adolfo Arias,sofascore.com,2026-07-07
97,33,59.0,14,6,7,10,1,2,Kylian Mbappe,sofascore.com,2026-07-09
97,10,41.0,7,2,3,12,2,4,,sofascore.com,2026-07-09
98,29,57.0,16,7,8,9,2,3,Mikel Oyarzabal,sofascore.com,2026-07-10
98,25,43.0,10,4,4,13,1,5,,sofascore.com,2026-07-10
99,36,42.0,9,3,4,12,1,4,,sofascore.com,2026-07-11
99,45,58.0,14,5,6,10,2,2,Jude Victor William Bellingham,sofascore.com,2026-07-11
100,37,63.0,18,8,7,9,3,2,Julián Alvarez,sofascore.com,2026-07-12
100,8,37.0,8,2,3,14,1,5,,sofascore.com,2026-07-12
101,33,41.0,8,2,3,11,0,4,,sofascore.com,2026-07-14
101,29,59.0,15,6,8,9,2,2,Pedro Antonio Porro,sofascore.com,2026-07-14
102,45,47.0,10,4,5,12,1,3,,sofascore.com,2026-07-15
102,37,53.0,13,5,6,10,2,3,Lionel Andrés Messi,sofascore.com,2026-07-15
103,33,50.0,18,9,4,9,1,5,,sofascore.com,2026-07-18
103,45,50.0,21,11,7,12,2,5,Bukayo Ayoyinka Saka,sofascore.com,2026-07-18
104,29,54.0,12,5,6,11,2,3,Ferran Torres,sofascore.com,2026-07-19
104,37,46.0,9,3,4,13,1,4,,sofascore.com,2026-07-19
